,bname,gname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Start,End,Orientation,Length,Chr
1,b0001,thrL,216.4094118,-1.679618255,0.259562315,-6.470963444,9.74E-11,8.38E-09,190,255,+,66,NC_000913.3
2,b0002,thrA,7063.263828,-3.646977873,0.611931186,-5.959784294,2.53E-09,1.65E-07,337,2799,+,2463,NC_000913.3
3,b0003,thrB,2647.021728,-2.446299801,0.358270563,-6.828079263,8.61E-12,1.20E-09,2801,3733,+,933,NC_000913.3
4,b0004,thrC,3512.215323,-1.644215317,0.359186338,-4.577610956,4.70E-06,0.000134924,3734,5020,+,1287,NC_000913.3
5,b0005,yaaX,111.8719297,-0.053308304,0.304214028,-0.175232893,0.860896639,0.931103451,5234,5530,+,297,NC_000913.3
6,b0006,yaaA,397.5677773,0.069078883,0.214892462,0.321457914,0.747863401,0.860609614,5683,6459,-,777,NC_000913.3
7,b0007,yaaJ,332.4579528,-0.194788869,0.247303074,-0.787652435,0.430900035,0.613081477,6529,7959,-,1431,NC_000913.3
8,b0008,talB,18049.35831,1.10671934,0.246399472,4.491565381,7.07E-06,0.000191938,8238,9191,+,954,NC_000913.3
9,b0009,mog,611.0018365,0.638858599,0.248615882,2.569661255,0.0101798,0.044757926,9306,9893,+,588,NC_000913.3
10,b0010,satP,210.5201762,-0.094517179,0.2624235,-0.360170409,0.718719702,0.844326618,9928,10494,-,567,NC_000913.3
11,b0013,yaaI,10.07696159,-0.227520255,0.556262244,-0.409016173,0.682527792,0.818992856,11382,11786,-,405,NC_000913.3
12,b0014,dnaK,13987.91843,-1.129961305,0.811068324,-1.393176471,0.163566433,0.326554793,12163,14079,+,1917,NC_000913.3
13,b0015,dnaJ,1020.556221,-0.438942209,0.703120267,-0.624277566,0.532445314,0.702918178,14168,15298,+,1131,NC_000913.3
14,b0016,insL1,358.4586669,0.028045694,0.290596813,0.096510672,0.923114998,0.961991379,15445,16557,+,1113,NC_000913.3
15,b0019,nhaA,1153.267587,-1.722309931,0.426210379,-4.04098543,5.32E-05,0.00087879,17489,18655,+,1167,NC_000913.3
16,b0020,nhaR,471.3693243,-0.750354434,0.346280275,-2.166899148,0.030242545,0.099970578,18715,19620,+,906,NC_000913.3
17,b0021,insB1,91.46087405,-0.315576616,0.420319599,-0.750801573,0.452772082,0.634602589,19811,20314,-,504,NC_000913.3
18,b0022,insA1,24.12357709,-0.341992113,0.424274011,-0.80606425,0.420205804,0.603761818,20233,20508,-,276,NC_000913.3
19,b0023,rpsT,2327.395245,0.605737191,0.411087873,1.47349808,0.140616781,0.294865153,20815,21078,-,264,NC_000913.3
20,b0024,yaaY,54.15598671,-1.72249692,0.300177401,-5.738263149,9.57E-09,5.53E-07,21181,21399,+,219,NC_000913.3
21,b0025,ribF,991.0865282,-0.189002034,0.165032485,-1.145241403,0.252109172,0.436924422,21407,22348,+,942,NC_000913.3
22,b0026,ileS,4770.826652,-0.026101239,0.273859316,-0.095308932,0.924069449,0.961991379,22391,25207,+,2817,NC_000913.3
23,b0027,lspA,470.0347621,-0.099960122,0.237471115,-0.420935918,0.673801876,0.814076639,25207,25701,+,495,NC_000913.3
24,b0028,fkpB,352.3504484,-0.147509815,0.26482281,-0.557013254,0.577518374,0.741842433,25826,26275,+,450,NC_000913.3
25,b0029,ispH,699.7599301,0.347155984,0.354066164,0.980483364,0.326847577,0.51430724,26277,27227,+,951,NC_000913.3
26,b0030,rihC,1477.41988,0.14346839,0.486500535,0.294898731,0.768071241,0.872164649,27293,28207,+,915,NC_000913.3
27,b0031,dapB,631.7724163,0.01379472,0.255344424,0.054023972,0.956916066,0.977209161,28374,29195,+,822,NC_000913.3
28,b0032,carA,150.7322495,2.36951226,0.408765354,5.796754142,6.76E-09,3.96E-07,29651,30799,+,1149,NC_000913.3
29,b0033,carB,473.4596577,1.184544239,0.324609395,3.649137259,0.000263122,0.002952577,30817,34038,+,3222,NC_000913.3
30,b0034,caiF,457.2596598,0.27830205,0.381584417,0.729332849,0.465798083,0.646840824,34300,34695,+,396,NC_000913.3
31,b0035,caiE,100.0495871,0.092833879,0.349931133,0.265291855,0.790784639,0.886832037,34781,35371,-,591,NC_000913.3
32,b0036,caiD,12.99186588,-0.721595297,0.466575437,-1.546577982,0.121965042,0.267542623,35377,36162,-,786,NC_000913.3
33,b0037,caiC,122.017162,0.717957383,0.335875279,2.137571378,0.032551547,0.105173486,36271,37824,-,1554,NC_000913.3
34,b0038,caiB,126.5184133,0.516649692,0.342242607,1.509600738,0.131145333,0.281871877,37898,39115,-,1218,NC_000913.3
35,b0039,caiA,266.8778042,0.296430211,0.357839021,0.828389846,0.407449755,0.592002248,39244,40386,-,1143,NC_000913.3
36,b0040,caiT,13.00667033,0.414600806,0.627406968,0.660816387,0.508730072,0.685858827,40417,41931,-,1515,NC_000913.3
37,b0041,fixA,11.70005288,-0.109397982,0.529230867,-0.206711265,0.836235359,0.916492126,42403,43173,+,771,NC_000913.3
38,b0042,fixB,17.49942347,0.416946017,0.487369702,0.855502537,0.392273001,0.57834226,43188,44129,+,942,NC_000913.3
39,b0043,fixC,21.01531634,-0.148851204,0.486222472,-0.306138058,0.759499532,0.86637778,44180,45466,+,1287,NC_000913.3
40,b0046,kefF,71.21408242,-0.52187163,0.343616017,-1.518763982,0.128821915,0.278505958,47246,47776,+,531,NC_000913.3
41,b0047,kefC,431.5692205,-0.118406053,0.384839102,-0.307676773,0.758328296,0.866257303,47769,49631,+,1863,NC_000913.3
42,b0048,folA,636.3153586,-0.341795099,0.334007306,-1.023316234,0.306158351,0.493509816,49823,50302,+,480,NC_000913.3
43,b0049,apaH,666.3123023,-0.261230095,0.298793871,-0.874281974,0.381964714,0.568240996,50380,51222,-,843,NC_000913.3
44,b0050,apaG,686.1577056,-0.462029698,0.261165055,-1.769109948,0.076875528,0.193987218,51229,51606,-,378,NC_000913.3
45,b0051,rsmA,1368.995569,-0.220608805,0.235306916,-0.937536426,0.348482695,0.534915106,51609,52430,-,822,NC_000913.3
46,b0052,pdxA,842.2787437,0.031064978,0.227027875,0.13683332,0.891162546,0.946494972,52427,53416,-,990,NC_000913.3
47,b0053,surA,3820.210924,-0.306667411,0.198710533,-1.54328715,0.12276112,0.26841553,53416,54702,-,1287,NC_000913.3
48,b0054,lptD,6732.196157,-0.356854159,0.174970383,-2.039511794,0.041398975,0.123494731,54755,57109,-,2355,NC_000913.3
49,b0055,djlA,334.7387428,0.022238758,0.295314978,0.075305215,0.939971872,0.968933181,57364,58179,+,816,NC_000913.3
50,b0056,yabP,113.1116793,0.147916437,0.276387073,0.535178564,0.592526387,0.751338319,58474,59124,+,651,NC_000913.3
51,b0057,yabQ,69.90434178,-0.138168499,0.270980403,-0.50988373,0.610132921,0.762666151,59121,59279,+,159,NC_000913.3
